Producto
"'BLUSON TENCEL', 'Ref: PF51110936', '$ 99.900', 'AZUL OSCURO', 'XS', 'S', 'M', 'L', 'XL', 'Blusón en denim fondo entero, escote redondo, manga sisa, abertura en costados inferior.'"
"'BLUSA EREVAN', 'Ref: PF11112249', '$ 49.900', 'BLANCO CRUDO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en chalis estampado, escote en V, manga sisa, túnel en hombro recogido con sesgo, silueta semi-ajustada.'"
"'CROP TOP AMARELO', 'Ref: PF13120486', '$ 29.900', 'CAFE TAUPE', 'COBRE', 'ROSADO PALO DE ROSA', 'XS', 'S', 'M', 'L', 'Top corto de tiras en tejido de punto fondo entero.'"
"'PANTALON ROMELIA', 'Ref: PF12310292', '$ 99.900', 'GRIS OSCURO', 'NEGRO', '6', '8', '10', '12', '14', 'Pantalón en tafetán fondo entero, tiro alto, semiajustado en cintura, suelto en pretina, pretina con tiras para anudar en frente, botón y cierre, bolsillos laterales.'"
"'PANTALON GINEBRA', 'Ref: PF12310297', '$ 119.900', 'BLANCO CRUDO', 'VERDE MILITAR', '6', '8', '10', '12', '14', 'Pantalón en dril fondo entero, tiro alto, bota ancha, cinco bolsillos, botones expuestos.'"
"'BLUSA DINAMARCA', 'Ref: PF12110530', '$ 69.900', 'BLANCO CRUDO', 'ROSADO PALO DE ROSA', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en crepe fondo entero, escote en V, manga 3/4 con puño en bolero, perilla con botones, bolero en ruedo.'"
"'VESTIDO CARIBE', 'Ref: PF11511024', '$ 109.900', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', 'Vestido largo de tiras en chalis estampado, escote redondo, boleros en ruedo.'"
"'CROP TOP OLIMPICA', 'Ref: PF13120495', '$ 29.900', 'BLANCO CRUDO', 'NEGRO', 'ROSADO CANDY', 'XS', 'S', 'M', 'L', 'Crop top en tejido de punto penelope fondo entero, escote redondo manga sisa, espalda atlética con abertura decorativa.'"
"'BLUSA MALIBU', 'Ref: PF12110541', '$ 69.900', 'BLANCO CRUDO', 'VERDE MARINO', 'XS', 'S', 'M', 'L', 'Blusa en chifón estampado, escote malibú con elástico y boleros decorativos, corte imperio con recogido, detalle en escote.'"
"'BLUSA MARTINA', 'Ref: PF11120942', '$ 39.900', 'BLANCO CRUDO', 'VERDE SALVIA', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en acanalado fondo entero, cuello redondo, manga corta en puff.'"
"'BLUSA POLKA MAGIC', 'Ref: PF11112242', '$ 69.900', 'BLANCO CRUDO', 'ROJO CARNAUBA', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en chalis estampado pepas, escote redondo, manga larga con recogido en puño.'"
"'VESTIDO MONTECARLO', 'Ref: PF51510098', '$ 129.900', 'AZUL OSCURO', 'XS', 'S', 'M', 'L', 'XL', 'Vestido largo en denim liviano fondo entero, escote redondo, manga corta con elástico y recogido, corte en cintura, cierre en costado.'"
"'BLUSA FLORENCIA', 'Ref: PF12110539', '$ 49.900', 'BEIGE CLARO', 'ROSADO OSCURO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en chifón crepe estampado, cuello sesgado en V con anudado en centro frente, corte imperio, manga corta.'"
"'BLUSA POPELIN SOFI', 'Ref: PF12110528', '$ 49.900', 'BLANCO', 'MORADO MEDIO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en popelina fondo entero, escote redondo con abertura en espalda y botón, manga corta con elástico en ruedo.'"
"'VESTIDO CAMISERO', 'Ref: PF11511020', '$ 119.900', 'VERDE MARINO', 'XS', 'S', 'M', 'Vestido largo en chalis estampado, cuello camisero, perilla completa con botones, bolsillo en costados, manga larga con botones en puño, bolsillo en frente izquierdo.'"
"'BLUSA VICTORIA', 'Ref: PF11112233', '$ 69.900', 'BLANCO CRUDO', 'ROSADO PALO DE ROSA', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en chalis fondo entero, manga corta, escote en V con perilla completa y botones, detalle de boleros en ruedo.'"
"'CAMISETA FEARLESS', 'Ref: PF51120584', '$ 29.900', 'NEGRO', 'XS', 'S', 'M', 'L', 'Camiseta en tejido de punto fondo entero, cuello redondo con estampado localizado, manga corta.'"
"'FALDA MADEIRA', 'Ref: PF11320387', '$ 119.900', 'AMARILLO MOSTAZA', 'NEGRO', '6', '8', '10', '12', 'Falda midi en chalis fondo entero, pretina básica con cierre en costado, detalle de faroles.'"
"'CAMISETA FRIDAY', 'Ref: PF51120590', '$ 29.900', 'ROSADO BRILLANTE', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero con estampado localizado en frente, cuello redondo, manga rodada.'"
"'TOP ASIMETRICO', 'Ref: PF13120489', '$ 24.900', 'BEIGE CLARO', 'BLANCO CRUDO', 'NEGRO', 'ROJO PERSA', 'M', 'L', 'Top corto en tejido de punto fondo entero, corte en escote asimétrico.'"
"'VESTIDO BERLIN', 'Ref: PF12510233', '$ 99.900', 'CAFE CARAMELO', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', ''"
"'CAMISETA IRIS', 'Ref: PF14120028', '$ 14.900', 'AMARILLO CLARO', 'AMARILLO MEDIO', 'AMARILLO MOSTAZA', 'AMARILLO PURO', 'AZUL CLARO', 'AZUL HORTENSIA', 'AZUL OSCURO', 'AZUL PETROLEO', 'AZUL REY', 'BLANCO', 'BLANCO CRUDO', 'FUCSIA', 'GRIS JASPE', 'GRIS PASTEL', 'LILA', 'NEGRO', 'ROJO CARNAUBA', 'ROJO PERSA', 'ROJO PURO', 'ROSADO', 'ROSADO BRILLANTE', 'ROSADO CANDY', 'ROSADO MEDIO', 'ROSADO PALO DE ROSA', 'ROSADO SALMON', 'VERDE AQUA', 'VERDE LIMA', 'VERDE MEDIO', 'VERDE MILITAR', 'VERDE OLIVO', 'VERDE OSCURO', 'VERDE PASTO', 'VERDE PORCELANA', 'VERDE SALVIA', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero, cuello redondo, manga corta, silueta semi ajustada.'"
"'CAMISETA MACARRON', 'Ref: PF51120588', '$ 39.900', 'VERDE MARINO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero con estampado localizado en frente, cuello redondo, manga corta.'"
"'FALDA DAKOTA', 'Ref: PF11320391', '$ 39.900', 'NEGRO', '6', '8', '10', '12', 'Falda lápiz en tejido de punto fondo entero, elástico en pretina, abertura en costado inferior.'"
"'CAMISETA MAX', 'Ref: PF51120534', '$ 34.900', 'AMARILLO PASTEL', 'BLANCO', 'LILA', 'ROSADO OSCURO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero, cuello redondo, manga corta, sisa rodada con bolero decorativo, silueta amplia.'"
"'VESTIDO BELANOVA', 'Ref: PF11510991', '$ 89.900', 'COBRE', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', 'Vestido largo en tejido de punto de tiras, escote redondo, corte y recogido en falda.'"
"'CAMISETA SELFLOVE', 'Ref: PF51120586', '$ 39.900', 'VERDE MARINO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero con estampado localizado en frente, cuello redondo, manga corta, bolero en ruedo.'"
"'CAMISETA SELFLOVE', 'Ref: PF51120589', '$ 34.900', 'BEIGE CLARO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero con estampado localizado en frente, cuello redondo, manga corta.'"
"'PANTALON ANDINA', 'Ref: PF11310640', '$ 99.900', 'AMARILLO MOSTAZA', 'BLANCO CRUDO', '6', '8', '10', '12', '14', 'Pantalón en dril fondo entero, bolsillos y ribetes en posterior, cierre y botón en frente, bota recta.'"
"'CAMISETA SUMMER', 'Ref: PF51120482', '$ 34.900', 'LILA', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero con estampado localizado en frente, cuello redondo, manga corta.'"
"'CROP TOP ACANALE', 'Ref: PF12120149', '$ 24.900', 'NEGRO', 'ROJO PERSA', 'XS', 'S', 'M', 'L', 'Crop top en tejido de punto acanalado fondo entero, cuello redondo, manga corta, silueta ajustada.'"
"'FALDA ANAHI', 'Ref: PF11320388', '$ 99.900', 'NEGRO', 'VERDE MARINO', '6', '8', '10', '12', 'Falda larga en tafetán fondo entero, pretina ancha, cierre en costado, falda cruzada en pétalo.'"
"'PANTALON BAGGY', 'Ref: PF51310079', '$ 109.900', 'AZUL MEDIO', '6', '8', '10', '12', '14', 'Pantalón en denim, tono medio, tiro alto, elástico en cintura, bolsillos laterales delanteros y parche atrás, silueta fluida.'"
"'SACO ANTILLAS', 'Ref: PF11120943', '$ 59.900', 'BEIGE MEDIO', 'LILA', 'XS', 'S', 'M', 'L', 'XL', 'Buso en rib fondo entero, cuello en V con perilla y botones.'"
"'TOP BELGICA', 'Ref: PF13120501', '$ 29.900', 'LILA', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', ''"
"'VESTIDO AZUCENA', 'Ref: PF12510232', '$ 119.900', 'BLANCO CRUDO', 'VERDE MARINO', 'XS', 'S', 'M', 'L', 'XL', 'Vestido corto en chifón estampado, escote bandeja con detalle de tira para anudar en frente, manga 3/4 con elástico en ruedo, elástico en cintura, detalle de boleros, forro interno en chalis fondo entero.'"
"'BLUSA SANTORINI', 'Ref: PF11112248', '$ 49.900', 'BLANCO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en popelina fondo entero, escote en V, manga corta con bolero, decorativo en ruedo.'"
"'VESTIDO MELON', 'Ref: PF18510007', '$ 79.900', 'NARANJA PERSIAN', 'VERDE PASTO', 'XS', 'S', 'M', 'L', 'XL', 'Vestido corto en dril lycra fondo entero, escote redondo con cierre en espalda, manga corta, corte en cintura con bolsillos.'"
"'BLUSA SHANNON', 'Ref: PF11112251', '$ 49.900', 'BLANCO CRUDO', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en chalis estampado, escote halter, bolero en ruedo.'"
"'CAMISA TENCEL BLACK', 'Ref: PF51110932', '$ 99.900', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', 'Camisa en denim black liviano fondo entero, cuello camisero con perilla completa y botones, manga larga con abertura en puño y botón, bolsillos con tapa y botón.'"
"'CAMISETA WOMAN', 'Ref: PF51120575', '$ 39.900', 'AMARILLO MOSTAZA', 'S', 'L', 'XL', 'Camiseta en tejido de punto fondo entero con estampado localizado en frente, cuello redondo, manga corta con recogido en hombros.'"
"'VESTIDO FLORENCIA', 'Ref: PF12510237', '$ 169.900', 'BEIGE CLARO', 'VERDE MENTA', 'XS', 'S', 'M', 'L', 'XL', 'Vestido largo en chifón estampado, escote en V, perilla media botones forrados, manga larga con elástico en puño, falda amplia línea A con cortes y recogidos decorativos, forrado en chalis fondo entero.'"
"'JEANS SEVENTY', 'Ref: PF51350244', '$ 109.900', 'AZUL OSCURO', '6', '8', '10', '12', '14', 'Jeans en denim fondo entero con proceso de lavado y desgaste, cinco bolsillos, cierre frontal, bota tubo.'"
"'TEJIDO PALVIN', 'Ref: PF11120941', '$ 59.900', 'BEIGE OSCURO', 'VERDE MARINO', 'XS', 'S', 'M', 'L', 'XL', 'Buso en tejido de punto acanalado, cuello redondo, manga larga con puño.'"
"'FALDA MANTILLA', 'Ref: PF11320389', '$ 99.900', 'BLANCO CRUDO', 'NEGRO', '6', '8', '10', '12', 'Falda larga en chalis estampado, cierre en costado, boleros asimétricos, forro interno en chalis fondo entero.'"
"'BUSO CODI', 'Ref: PF51120592', '$ 59.900', 'CAFE CARAMELO', 'GRIS JASPE', 'ROSADO PALO DE ROSA', 'VERDE MARINO', 'XS', 'S', 'M', 'L', 'XL', ''"
"'BLUSA AMARANTO', 'Ref: PF11112250', '$ 59.900', 'BLANCO CRUDO', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en chalis estampado, escote en V con tiras para ajustar, manga larga con elástico en puño.'"
"'JOGGER KODIE BURDA', 'Ref: PF51310082', '$ 59.900', 'CAFE CARAMELO', 'GRIS JASPE', 'ROSADO PALO DE ROSA', 'VERDE MARINO', '6', '8', '10', '12', '14', 'Jogger en burda fondo entero, bolsillos en costados, elástico en pretina, bota recta con elástico en ruedo.'"
"'PANTALON CORDUROY', 'Ref: PF11310642', '$ 99.900', 'AMARILLO MOSTAZA', 'BLANCO CRUDO', '6', '8', '10', '12', '14', 'Corduroy en fondo entero, cierre frontal, bolsillos en delantero y en posterior, bota recta.'"
"'SHORT AMELIA', 'Ref: PF11340117', '$ 59.900', 'BEIGE OSCURO', 'ROSADO PALO DE ROSA', '6', '8', '10', '12', 'Short en chalis fondo entero, botones en frente, bolsillos en costados.'"
"'VESTIDO AMAZONAS', 'Ref: PF11511019', '$ 79.900', 'AMARILLO MOSTAZA', 'BEIGE MEDIO', 'XS', 'S', 'M', 'L', 'XL', 'Vestido corto en chalis fondo entero, cuello camisero, perilla completa con botones, manga corta en bolero, bolsillo en costados.'"
"'VESTIDO TIANA', 'Ref: PF51510094', '$ 129.900', 'AZUL MEDIO', 'XS', 'S', 'M', 'L', 'XL', 'Vestido corto en denim fondo entero con proceso de lavado y desgaste, cuello nerú con escote en V y perilla con botones, bolsillos en costados. manga larga con abertura en puño y botón, ruedo al corte.'"
"'BLUSA ANTAMI', 'Ref: PF11112240', '$ 59.900', 'AMARILLO MOSTAZA', 'BLANCO CRUDO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en chalis fondo entero, escote en V con tira cruzada para anudar, manga corta con elástico en ruedo, detalle de faroles.'"
"'VESTIDO ANN MARIE', 'Ref: PF11510939', '$ 79.900', 'COBRE', 'NEGRO', 'ROJO VINO', 'XS', 'S', 'M', 'L', 'XL', 'Vestido largo en tejido de punto fondo entero, cuello redondo, manga corta con charretera y botón.'"
"'JEANS AVELLANA', 'Ref: PF51350242', '$ 109.900', 'AZUL OSCURO', '6', '8', '10', '12', '14', 'Jean tiro alto, fit skinny, ajustado en cadera, pierna y bota. Tono oscuro con desgaste suave, bigotes marcados y costuras en tono contrastante. Bolsillos en parche posterior, con cremallera y botón metalico. Diseño 5 bolsillos.'"
"'CAMISETA LIFE', 'Ref: PF51120567', '$ 39.900', 'ROSADO PALO DE ROSA', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero, cuello redondo, manga corta, sisa rodada, estampado localizado en frente.'"
"'CROP TOP MALUA', 'Ref: PF13120496', '$ 29.900', 'AZUL MEDIO', 'BLANCO CRUDO', 'COBRE', 'NEGRO', 'ROJO CARNAUBA', 'VERDE MILITAR', 'XS', 'S', 'M', 'L', 'Crop top en penelope fondo entero, tiras gruesas, silueta ajustada.'"
"'CAMISETA YOU', 'Ref: PF51120585', '$ 39.900', 'BEIGE OSCURO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero con estampado localizado en frente, cuello redondo, manga corta.'"
"'TOP CUELLO ALTO', 'Ref: PF13120487', '$ 39.900', 'BEIGE MEDIO', 'BLANCO CRUDO', 'NEGRO', 'XS', 'S', 'M', 'L', 'Top corto en tejido de punto fondo entero, cuello alto redondo, manga larga.'"
"'BODY RAINBOW', 'Ref: PF13120498', '$ 49.900', 'BLANCO CRUDO', 'COBRE', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', 'Body en tejido de punto penelope fondo entero, manga corta, anudado en escote busto, silueta ajustada.'"
"'BLAZER GINEBRA', 'Ref: PF12130100', '$ 59.900', 'AMARILLO MOSTAZA', 'ROJO PURO', 'VERDE MILITAR', 'XS', 'S', 'M', 'L', 'XL', 'Blazer abierto en crepe fondo entero, cuello tipo solapa de doblar, manga 3/4 con puño de doblar, silueta semi ajustada.'"
"'BLUSA TANGER', 'Ref: PF12110533', '$ 59.900', 'AZUL CLARO', 'ROJO CARNAUBA', 'XS', 'S', 'M', 'L', 'Blusa en chalis estampado rayas, tirantes, escote en V, perilla con botones.'"
"'CAMISA COTTON', 'Ref: PF12110534', '$ 69.900', 'BLANCO', 'XS', 'S', 'M', 'L', 'XL', 'Camisa en popelina fondo entero, cuello camisero, perilla con botones, manga corta rodada, bolsillos con tapa y botón.'"
"'CAMISETA FANTASTIC', 'Ref: PF12120154', '$ 39.900', 'ROJO PERSA', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero con estampado localizado en frente, cuello redondo, silueta tipo cajón'"
"'CAMISETA OAHU', 'Ref: PF13120492', '$ 44.900', 'BLANCO CRUDO', 'NEGRO', 'ROJO CARNAUBA', 'XS', 'S', 'M', 'XL', 'Camiseta en tejido de punto fondo entero, cuello en minibolero con tira para anudar, escote en V, manga corta en bolero.'"
"'CAMISETA SHINE', 'Ref: PF12120153', '$ 34.900', 'BEIGE OSCURO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero con estampado localizado en frente, cuello redondo, manga corta.'"
"'CAMISETA SPECIAL EDITION', 'Ref: PF51120502', '$ 29.900', 'BLANCO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto, cuello redondo, manga corta, estampado localizado en frente.'"
"'FALDA PALMA', 'Ref: PF51320043', '$ 99.900', 'AZUL MEDIO', '6', '8', '10', 'Falda corta en denim fondo entero con proceso de lavado y desgaste, cierre frontal, cinco bolsillos, ruedo al corte.'"
"'BLUSA FLORIDA', 'Ref: PF18110074', '$ 39.900', 'AZUL CIELO', 'AZUL CLARO', 'AZUL HORTENSIA', 'AZUL MARINO', 'AZUL MASMELO', 'AZUL MEDIO', 'AZUL OSCURO', 'AZUL PURO', 'AZUL REY', 'FUCSIA', 'GRIS MEDIO', 'NEGRO', 'ROJO MEDIO', 'ROJO PURO', 'ROSADO OSCURO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en popelina, escote bandeja con elástico, manga 3/4 con elástico en puño, detalle de ruedo con elástico.'"
"'FALDA FAROLES BOLERO', 'Ref: PF12320130', '$ 89.900', 'AZUL MEDIO', 'NEGRO', '6', '8', '10', '12', 'Falda larga en chalis fondo entero, elástico en pretina, bolero inferior, detalle de faroles.'"
"'PANTALON SLOUCHY', 'Ref: PF11310637', '$ 99.900', 'BLANCO CRUDO', 'COBRE', '6', '8', '10', '12', '14', 'Pantalón en dril fondo entero, tiro alto, elástico en pretina espalda, botón y cierre, cinco bolsillos, corte irregular en pierna.'"
"'BODY TYKAL', 'Ref: PF13120475', '$ 34.900', 'AZUL MARINO', 'BLANCO CRUDO', 'NARANJA PERSIAN', 'NEGRO', 'VERDE OSCURO', 'XS', 'S', 'M', 'L', 'XL', 'Body de tiras en tejido de punto fondo entero, escote redondo.'"
"'TOP POMA ROSA', 'Ref: PF51110934', '$ 69.900', 'AZUL MEDIO', 'XS', 'S', 'M', 'L', 'Top de tirantes en denim, tono medio, escote en V en frente y espalda, doble capa.'"
"'VESTIDO BULGARIA', 'Ref: PF11511015', '$ 109.900', 'NEGRO', 'ROJO CARNAUBA', 'XS', 'S', 'M', 'L', 'Vestido largo en chalis fondo entero, escote cruzado en V, elástico en cintura, manga 3/4 amplia.'"
"'VESTIDO EMILY', 'Ref: PF12510230', '$ 89.900', 'AZUL CLARO', 'ROJO CARNAUBA', 'XS', 'S', 'M', 'L', 'XL', 'Vestido corto en chalis estampado rayas, escote bandeja con elástico en ruedo, manga corta, bolsillos en costados, perilla completa con botones.'"
"'CHAQUETA BOMBER MIX', 'Ref: PF11130236', '$ 79.900', 'AZUL OSCURO', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', 'Chaqueta en satín fondo entero, cuello nerú, cierre separable, manga larga con elástico en puño, elástico en ruedo.'"
"'CROP TOP AMARANTA', 'Ref: PF13120497', '$ 29.900', 'AZUL MEDIO', 'BLANCO CRUDO', 'NEGRO', 'S', 'M', 'Crop top en tejido de punto penelope fondo entero, escote redondo, manga corta, silueta ajustada.'"
"'TOP NUDO', 'Ref: PF13120494', '$ 34.900', 'BLANCO CRUDO', 'VERDE MILITAR', 'S', 'M', 'L', 'Crop top en tejido de punto penelope fondo entero, cuello redondo, manga larga, detalle de nudo en cintura frente.'"
"'BLUSA HAWAI', 'Ref: PF12110532', '$ 49.900', 'ROJO CARNAUBA', 'VERDE MILITAR', 'XS', 'S', 'M', 'L', 'Blusa en chalis fondo entero, tirantes con argolla y tensor, escote con anudado decorativo, corte en busto.'"
"'TEJIDO ESSENCIAL', 'Ref: PF12120160', '$ 59.900', 'COBRE', 'NEGRO', 'S', 'M', 'L', 'Buso en tejido de punto fondo entero, cuello alto redondo, manga 3/4 con puño, fajón en ruedo.'"
"'BLUSA HOLLYWOOD', 'Ref: PF12120159', '$ 49.900', 'AZUL OSCURO', 'BLANCO CRUDO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en acanalado fondo entero, escote redondo con botones en perilla completa, manga 3/4 con elástico en puño.'"
"'BLUSA KABUL', 'Ref: PF12110531', '$ 49.900', 'AZUL MEDIO', 'BLANCO CRUDO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en chalis estampado, cuello sesgado en V, manga larga.'"
"'BLUSA MILAN', 'Ref: PF11120940', '$ 39.900', 'NEGRO', 'ROJO PERSA', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en tejido de punto fondo entero, escote cuadrado con elástico, manga larga con puño.'"
"'CAMISETA IT IS', 'Ref: PF51120523', '$ 49.900', 'AZUL MEDIO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero, cuello redondo, manga volante decorativas en costados, estampado localizado en frente.'"
"'VESTIDO ADELAIDE', 'Ref: PF51510093', '$ 129.900', 'AZUL CLARO', 'XL', 'Vestido corto en denim liviano fondo entero con proceso de lavado tono claro, escote cuadrado con elástico, manga 3/4 con elástico en puño, cortes con recogido en cuerpo.'"
"'CAMISETA NOW', 'Ref: PF51120550', '$ 34.900', 'VERDE MARINO', 'XS', 'S', 'XL', 'Camiseta en tejido de punto fondo entero, cuello redondo, manga corta, estampado localizado en frente, silueta amplia.'"
"'VESTIDO BAMBU', 'Ref: PF12510231', '$ 109.900', 'AZUL MEDIO', 'BLANCO CRUDO', 'XS', 'S', 'M', 'L', 'XL', 'Vestido largo en chalis estampado, escote en V, manga corta con elástico en puño y hombro, detalle de cinturón en la misma tela, bolero en ruedo, forro interno en chalis fondo entero.'"
"'FALDA MADAGASCAR', 'Ref: PF12320131', '$ 79.900', 'AZUL MEDIO', 'BLANCO CRUDO', '6', '8', '10', '12', 'Falda en chalis estampado, pretina sencilla con cierre lateral, doble bolero en ruedo.'"
"'JEANS BASIC BERLIN', 'Ref: PF51350240', '$ 109.900', 'AZUL CLARO', '6', '8', '10', '12', '14', 'Jean tiro alto, tono claro, cinco bolsillos, bota ajustada.'"
"'PANTALON PARIS', 'Ref: PF12310287', '$ 69.900', 'CAFE CARAMELO', 'NEGRO', '6', '8', '10', '14', 'Pantalón en chalis fondo entero, pretina ancha, botones en frente, bolsillos laterales, bota recta.'"
"'VESTIDO MABELL', 'Ref: PF11511004', '$ 89.900', 'VERDE MILITAR', 'XS', 'S', 'XL', 'Vestido largo de tiras en tejido de punto estampado, cuello sesgado en V.'"
"'VESTIDO MANLY', 'Ref: PF11511017', '$ 119.900', 'BEIGE MEDIO', 'VERDE MILITAR', 'XS', 'S', 'M', 'L', 'XL', 'Vestido midi en chalis fondo entero, escote en V, elastico en cintura, manga corta amplia, falda cruzada asimetrica.'"
"'CAMISETA STARS', 'Ref: PF51120572', '$ 39.900', 'AZUL OSCURO', 'S', 'XL', 'Camiseta en tejido de punto fondo entero, cuello redondo, manga corta, estampado localizado en frente.'"
"'BLUSA ANAKOR', 'Ref: PF11112231', '$ 49.900', 'AZUL MEDIO', 'BLANCO CRUDO', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en chalis fondo entero, de tiras con recogido, escote redondo, bolero decorativo en ruedo.'"
"'VESTIDO AMUR', 'Ref: PF11511012', '$ 49.900', 'NEGRO', 'XS', 'S', 'M', 'Vestido corto en tejido de punto fondo entero, cuello redondo, sisa rodada con puño y recogido, bolero decorativo en ruedo, silueta amplia.'"
"'BLUSA OPERA', 'Ref: PF11112239', '$ 69.900', 'BLANCO CRUDO', 'COBRE', 'XS', 'S', 'M', 'L', 'XL', 'Blusa en chalis fondo entero, escote en V en frente y espalda, manga amplia con bolero y detalle de cortes y recogido en cuerpo, silueta amplia.'"
"'VESTIDO TABATHA', 'Ref: PF11511011', '$ 49.900', 'NEGRO', 'XS', 'S', 'M', 'Vestido corto en tejido de punto fondo entero, escote en V, manga larga con elástico en puño, recogido decorativo en cuerpo, bolero en ruedo, silueta amplia.'"
